title,description,start_to_end_time,rating,release_at,id,image_url,trailer_url,created_at,updated_at
The NeverEnding Story,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",102.0,7.0,1984-04-05,19,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Blackhat,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,133.0,5.1,2015-01-13,20,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Inherent Vice,"In Los Angeles at the turn of the 1970s, drug-fueled detective Larry ""Doc"" Sportello investigates the disappearance of an ex-girlfriend.",148.0,6.5,2014-12-25,21,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Aviator,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",170.0,7.0,2004-12-17,22,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Serenity,"When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship.",119.0,7.4,2005-08-25,23,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Equilibrium,"In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death. A man in charge of enforcing the law rises to overthrow the system.",107.0,6.9,2002-12-06,24,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Fear and Loathing in Las Vegas,"The hallucinogenic misadventures of sportswriter Raoul Duke and his Samoan lawyer, Dr. Gonzo, on a three-day romp from Los Angeles to Las Vegas. Motoring across the Mojave Desert on the way to Sin City, Duke and his purple haze passenger ingest a cornucopia of drugs ranging from acid to ether.",118.0,7.2,1998-05-22,25,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
RED 2,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,116.0,6.4,2013-07-18,26,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Last Stand,"Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts",107.0,5.7,2013-01-12,27,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Jack Ryan: Shadow Recruit,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",105.0,5.9,2014-01-15,28,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
47 Ronin,"Based on the original 1941 movie from Japan, and from ancient Japan’s most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",119.0,5.9,2013-12-06,29,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",132.0,7.5,1985-02-20,30,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Road,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.",111.0,6.8,2009-11-25,31,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Child 44,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",137.0,6.1,2015-03-15,32,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Maggie,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",95.0,5.2,2015-05-08,33,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.",207.0,8.2,1954-04-26,34,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
R.I.P.D.,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him. Based on the comic by Peter M. Lenkov.,96.0,5.4,2013-07-18,35,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Akira,"Childhood friends Tetsuo and Kaneda are pulled into the post-apocalyptic underworld of Neo-Tokyo and forced to fight for their very survival. Kaneda is a bike gang leader, and Tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called Akira. But a bloody battle ensues when Kaneda sets out to save his friend.",124.0,7.8,1988-07-16,36,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",95.0,7.2,2002-11-26,37,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Scott Pilgrim vs. the World,"Scott Pilgrim is a film adaptation of the critically acclaimed, award-winning series of graphic novels of the same name by Canadian cartoonist Bryan Lee O’Malley. Scott Pilgrim is a 23 year old Canadian slacker and wannabe rockstar who falls in love with an American delivery girl, Ramona V. Flowers, and must defeat her seven ""evil exes"" to be able to date her.",112.0,7.2,2010-07-27,38,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",117.0,6.4,2016-06-08,39,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
A Most Violent Year,"A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built.",125.0,6.5,2014-12-30,40,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Road to El Dorado,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?",89.0,7.0,2000-03-31,41,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Remember Me,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.",113.0,6.9,2010-03-12,42,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Assassination of Jesse James by the Coward Robert Ford,"Outlaw Jesse James is rumored be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",160.0,7.0,2007-09-02,43,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Children of Men,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",109.0,7.4,2006-09-22,44,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",120.0,7.5,1993-09-09,45,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Boondock Saints,"With a God-inspired moral obligation to act against evil, twin brothers Conner and Murphy set out to rid Boston of criminals. However, rather than working within the system, these Irish Americans decide to take swift retribution into their own hands.",108.0,7.2,1999-01-22,46,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Lord of War,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",122.0,7.0,2005-09-16,47,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Gremlins 2: The New Batch,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",106.0,6.2,1990-06-15,48,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Army of Darkness,"A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home.",81.0,7.3,1992-10-09,49,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Tinker Tailor Soldier Spy,"Recently-retired MI6 agent, George Smiley is doing his best to adjust to a life outside the secret service until a disgraced agent reappears with information concerning a mole at the heart of the service. Smiley is drawn back into the murky field of espionage, tasked with investigating which of his trusted former colleagues has chosen to betray him and their country. Smiley narrows his search to four suspects – all experienced, skilled and successful agents – but past histories, rivalries and friendships make it far from easy to pinpoint the man who is eating away at the heart of the British establishment.",127.0,6.6,2011-09-16,50,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Survivor,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",96.0,5.4,2015-05-21,51,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Don Jon,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",90.0,5.9,2013-07-26,52,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
A Million Ways to Die in the West,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",116.0,5.8,2014-05-22,53,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Midnight Special,A father and son go on the run after the dad learns his child possesses special powers.,112.0,6.2,2016-02-18,54,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Ronin,"A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case.",122.0,6.7,1998-09-25,55,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Great Beauty,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",142.0,7.3,2013-05-21,56,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",153.0,8.0,1927-01-10,57,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Catwoman,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat -- and she's eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail.",104.0,4.2,2004-07-22,58,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
LOL,"In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown.",97.0,5.9,2012-02-10,59,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Man from Earth,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",87.0,7.7,2007-06-10,60,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Boat That Rocked,"The Boat that Rocked is an ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that  wanted control of popular culture via the British Broadcasting Corporation. Loosely based on the events in Britain in the 60's when the Labour government of Harold Wilson, wanted to bring the pirate stations under control, enough to see the passage of the Marine Broadcasting Offences Act on 15 August 1967",116.0,7.2,2009-04-01,61,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Never Let Me Go,"As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them.",104.0,6.8,2010-09-15,62,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Attack the Block,A teen gang in a grim South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,88.0,6.3,2011-05-12,63,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Seeking a Friend for the End of the World,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",101.0,6.3,2012-06-22,64,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Drive Angry,"Milton is a hardened felon who has broken out of Hell, intent on finding the vicious cult who brutally murdered his daughter and kidnapped her baby. He joins forces with Piper, a sexy, tough-as-nails waitress with a 69 Charger, who's also seeking redemption of her own. Caught in a deadly race against time, Milton has three days to avoid capture, avenge his daughter's death, and save her baby before she's mercilessly sacrificed by the cult.",105.0,5.3,2011-02-24,65,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Green Zone,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",115.0,6.4,2010-03-11,66,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
25th Hour,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint.",135.0,7.2,2002-12-16,67,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Green Room,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.,95.0,6.7,2016-04-15,68,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Æon Flux,"400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.",93.0,5.4,2005-11-30,69,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",99.0,7.1,1986-05-30,70,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Event Horizon,"In the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship ""Event Horizon"". The ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the ""Lewis and Clark"" discover the real truth behind its disappearance and something even more terrifying.",96.0,6.5,1997-08-15,71,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Under the Skin,"Jonathan Glazer's atmospheric, visually arresting abstraction stars Scarlett Johansson as a seductive alien who prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.",108.0,6.0,2014-03-14,72,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Aloha,A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,105.0,5.2,2015-05-27,73,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,125.0,5.3,2016-08-17,74,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Killer Elite,"Based on a shocking true story, Killer Elite pits two of the world’s most elite operatives—Danny, an ex-special ops agent and Hunter, his longtime mentor—against the cunning leader of a secret military society. Covering the globe from Australia to Paris, London and the Middle East, Danny and Hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey.",116.0,6.1,2011-09-23,75,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Broken City,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.",109.0,5.7,2013-01-18,76,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Triple 9,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,115.0,5.6,2016-02-19,77,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Deliver Us from Evil,"When a frightening wave of violence sweeps through New York City, troubled cop Sarchie fails to find a rational explanation for the bizarre crimes. However, his eyes are opened to a frightening alternate reality when renegade Jesuit priest, Mendoza convinces him that demonic possession may be to blame for the gruesome murders. Together, they wage a valiant supernatural struggle to rid the city of an otherworldly evil.",118.0,5.9,2014-07-01,78,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Doom,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious.",105.0,5.0,2005-10-20,79,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Highlander,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,116.0,6.8,1986-03-07,80,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Out of the Furnace,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast.",116.0,6.5,2013-12-06,81,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Man in the Iron Mask,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",132.0,6.3,1998-03-12,82,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Australia,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",165.0,6.3,2008-11-18,83,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Bridget Jones: The Edge of Reason,"Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life.",108.0,6.1,2004-11-10,84,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Negotiator,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.",140.0,6.8,1998-07-29,85,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
All Is Lost,"Deep into a solo voyage in the Indian Ocean, an unnamed man (Redford) wakes to find his 39-foot yacht taking on water after a collision with a shipping container left floating on the high seas. With his navigation equipment and radio disabled, the man sails unknowingly into the path of a violent storm. Despite his success in patching the breached hull, his mariner's intuition and a strength that belies his age, the man barely survives the tempest. Using only a sextant and nautical maps to chart his progress, he is forced to rely on ocean currents to carry him into a shipping lane in hopes of hailing a passing vessel. But with the sun unrelenting, sharks circling and his meager supplies dwindling, the ever-resourceful sailor soon finds himself staring his mortality in the face.",106.0,6.6,2013-10-18,86,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
